,Dictor,Name,Type,Sp-hu
0,T2,T2_1000001,human,human
1,T2,T2_1000002,human,human
2,T2,T2_1000003,human,human
3,T2,T2_1000004,human,human
4,T2,T2_1000005,human,human
5,T2,T2_1000006,human,human
6,T2,T2_1000007,human,human
7,T2,T2_1000008,human,human
8,T2,T2_1000009,human,human
9,T2,T2_1000010,human,human
10,T2,T2_1000011,human,human
11,T2,T2_1000012,human,human
12,T2,T2_1000013,human,human
13,T2,T2_1000014,human,human
14,T2,T2_1000015,human,human
15,T2,T2_1000016,human,human
16,T2,T2_1000017,human,human
17,T2,T2_1000018,human,human
18,T2,T2_1000019,human,human
19,T2,T2_1000020,human,human
20,T2,T2_1000021,human,human
21,T2,T2_1000022,human,human
22,T2,T2_1000023,human,human
23,T2,T2_1000024,human,human
24,T2,T2_1000025,human,human
25,T2,T2_1000026,human,human
26,T2,T2_1000027,human,human
27,T2,T2_1000028,human,human
28,T2,T2_1000029,human,human
29,T2,T2_1000030,human,human
30,T2,T2_1000031,human,human
31,T2,T2_1000032,human,human
32,T2,T2_1000033,human,human
33,T2,T2_1000034,human,human
34,T2,T2_1000035,human,human
35,T2,T2_1000036,human,human
36,T2,T2_1000037,human,human
37,T2,T2_1000038,human,human
38,T2,T2_1000039,human,human
39,T2,T2_1000040,human,human
40,T2,T2_1000041,human,human
41,T2,T2_1000042,human,human
42,T2,T2_1000043,human,human
43,T2,T2_1000044,human,human
44,T2,T2_1000045,human,human
45,T2,T2_1000046,human,human
46,T2,T2_1000047,human,human
47,T2,T2_1000048,human,human
48,T2,T2_1000049,human,human
49,T2,T2_1000050,human,human
50,T2,T2_1000051,human,human
51,T2,T2_1000052,human,human
52,T2,T2_1000053,human,human
53,T2,T2_1000054,human,human
54,T2,T2_1000055,human,human
55,T2,T2_1000056,human,human
56,T2,T2_1000057,human,human
57,T2,T2_1000058,human,human
58,T2,T2_1000059,human,human
59,T2,T2_1000060,human,human
60,T2,T2_1000061,human,human
61,T2,T2_1000062,human,human
62,T2,T2_1000063,human,human
63,T2,T2_1000064,human,human
64,T2,T2_1000065,human,human
65,T2,T2_1000066,human,human
66,T2,T2_1000067,human,human
67,T2,T2_1000068,human,human
68,T2,T2_1000069,human,human
69,T2,T2_1000070,human,human
70,T2,T2_1000071,human,human
71,T2,T2_1000072,human,human
72,T2,T2_1000073,human,human
73,T2,T2_1000074,human,human
74,T2,T2_1000075,human,human
75,T2,T2_1000076,human,human
76,T2,T2_1000077,human,human
77,T2,T2_1000078,human,human
78,T2,T2_1000079,human,human
79,T2,T2_1000080,human,human
80,T2,T2_1000081,human,human
81,T2,T2_1000082,human,human
82,T2,T2_1000083,human,human
83,T2,T2_1000084,human,human
84,T2,T2_1000085,human,human
85,T2,T2_1000086,human,human
86,T2,T2_1000087,human,human
87,T2,T2_1000088,human,human
88,T2,T2_1000089,human,human
89,T2,T2_1000090,human,human
90,T2,T2_1000091,human,human
91,T2,T2_1000092,human,human
92,T2,T2_1000093,human,human
93,T2,T2_1000094,human,human
94,T2,T2_1000095,human,human
95,T2,T2_1000096,human,human
96,T2,T2_1000097,human,human
97,T2,T2_1000098,human,human
98,T2,T2_1000099,human,human
99,T2,T2_1000100,human,human
100,T2,T2_1000101,human,human
101,T2,T2_1000102,human,human
102,T2,T2_1000103,human,human
103,T2,T2_1000104,human,human
104,T2,T2_1000105,human,human
105,T2,T2_1000106,human,human
106,T2,T2_1000107,human,human
107,T2,T2_1000108,human,human
108,T2,T2_1000109,human,human
109,T2,T2_1000110,human,human
110,T2,T2_1000111,human,human
111,T2,T2_1000112,human,human
112,T2,T2_1000113,human,human
113,T2,T2_1000114,human,human
114,T2,T2_1000115,human,human
115,T2,T2_1000116,human,human
116,T2,T2_1000117,human,human
117,T2,T2_1000118,human,human
118,T2,T2_1000119,human,human
119,T2,T2_1000120,human,human
120,T2,T2_1000121,human,human
121,T2,T2_1000122,human,human
122,T2,T2_1000123,human,human
123,T2,T2_1000124,human,human
124,T2,T2_1000125,human,human
125,T2,T2_1000126,human,human
126,T2,T2_1000127,human,human
127,T2,T2_1000128,human,human
128,T2,T2_1000129,human,human
129,T2,T2_1000130,human,human
130,T2,T2_1000131,human,human
131,T2,T2_1000132,human,human
132,T2,T2_1000133,human,human
133,T2,T2_1000134,human,human
134,T2,T2_1000135,human,human
135,T2,T2_1000136,human,human
136,T2,T2_1000137,human,human
137,T2,T2_1000138,human,human
138,T2,T2_1000139,human,human
139,T2,T2_1000140,human,human
140,T2,T2_1000141,human,human
141,T2,T2_1000142,human,human
142,T2,T2_1000143,human,human
143,T2,T2_1000144,human,human
144,T2,T2_1000145,human,human
145,T2,T2_1000146,human,human
146,T2,T2_1000147,human,human
147,T2,T2_1000148,human,human
148,T2,T2_1000149,human,human
149,T2,T2_1000150,human,human
150,T4,T4_1000151,human,human
151,T4,T4_1000152,human,human
152,T4,T4_1000153,human,human
153,T4,T4_1000154,human,human
154,T4,T4_1000155,human,human
155,T4,T4_1000156,human,human
156,T4,T4_1000157,human,human
157,T4,T4_1000158,human,human
158,T4,T4_1000159,human,human
159,T4,T4_1000160,human,human
160,T4,T4_1000161,human,human
161,T4,T4_1000162,human,human
162,T4,T4_1000163,human,human
163,T4,T4_1000164,human,human
164,T4,T4_1000165,human,human
165,T4,T4_1000166,human,human
166,T4,T4_1000167,human,human
167,T4,T4_1000168,human,human
168,T4,T4_1000169,human,human
169,T4,T4_1000170,human,human
170,T4,T4_1000171,human,human
171,T4,T4_1000172,human,human
172,T4,T4_1000173,human,human
173,T4,T4_1000174,human,human
174,T4,T4_1000175,human,human
175,T4,T4_1000176,human,human
176,T4,T4_1000177,human,human
177,T4,T4_1000178,human,human
178,T4,T4_1000179,human,human
179,T4,T4_1000180,human,human
180,T4,T4_1000181,human,human
181,T4,T4_1000182,human,human
182,T4,T4_1000183,human,human
183,T4,T4_1000184,human,human
184,T4,T4_1000185,human,human
185,T4,T4_1000186,human,human
186,T4,T4_1000187,human,human
187,T4,T4_1000188,human,human
188,T4,T4_1000189,human,human
189,T4,T4_1000190,human,human
190,T4,T4_1000191,human,human
191,T4,T4_1000192,human,human
192,T4,T4_1000193,human,human
193,T4,T4_1000194,human,human
194,T4,T4_1000195,human,human
195,T4,T4_1000196,human,human
196,T4,T4_1000197,human,human
197,T4,T4_1000198,human,human
198,T4,T4_1000199,human,human
199,T4,T4_1000200,human,human
200,T4,T4_1000201,human,human
201,T4,T4_1000202,human,human
202,T4,T4_1000203,human,human
203,T4,T4_1000204,human,human
204,T4,T4_1000205,human,human
205,T4,T4_1000206,human,human
206,T4,T4_1000207,human,human
207,T4,T4_1000208,human,human
208,T4,T4_1000209,human,human
209,T4,T4_1000210,human,human
210,T4,T4_1000211,human,human
211,T4,T4_1000212,human,human
212,T4,T4_1000213,human,human
213,T4,T4_1000214,human,human
214,T4,T4_1000215,human,human
215,T4,T4_1000216,human,human
216,T4,T4_1000217,human,human
217,T4,T4_1000218,human,human
218,T4,T4_1000219,human,human
219,T4,T4_1000220,human,human
220,T4,T4_1000221,human,human
221,T4,T4_1000222,human,human
222,T4,T4_1000223,human,human
223,T4,T4_1000224,human,human
224,T4,T4_1000225,human,human
225,T4,T4_1000226,human,human
226,T4,T4_1000227,human,human
227,T4,T4_1000228,human,human
228,T4,T4_1000229,human,human
229,T4,T4_1000230,human,human
230,T4,T4_1000231,human,human
231,T4,T4_1000232,human,human
232,T4,T4_1000233,human,human
233,T4,T4_1000234,human,human
234,T4,T4_1000235,human,human
235,T4,T4_1000236,human,human
236,T4,T4_1000237,human,human
237,T4,T4_1000238,human,human
238,T4,T4_1000239,human,human
239,T4,T4_1000240,human,human
